bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,2,28.8,-111.4,55.3
4,2,27.2,-103.0,51.9
4,2,25.1,-91.2,47.7
4,2,21.9,-74.6,42.5
3,2,14.9,-47.7,34.9
3,2,7.1,-57.6,37.1
4,2,6.6,-115.7,56.0
4,2,28.0,-127.6,57.3
4,2,27.3,-129.2,57.1
4,2,26.0,-127.3,55.6
4,2,24.6,-122.6,53.1
4,2,23.4,-115.1,49.8
4,2,22.2,-104.9,45.8
4,2,21.0,-91.1,41.1
3,2,18.9,-71.9,35.7
3,2,11.4,-34.3,27.4
5,2,-34.6,38.1,77.1
5,2,34.0,-133.9,70.7
4,2,-16.1,-38.5,41.2
4,2,12.7,-70.9,44.7
5,2,6.6,-130.7,60.7
4,2,24.6,-132.2,54.1
4,2,23.1,-135.7,54.7
4,2,21.3,-135.2,54.0
4,2,19.6,-131.9,52.2
4,2,18.3,-126.0,49.4
4,2,17.4,-117.7,45.9
4,2,17.0,-106.7,41.5
3,2,16.9,-92.3,36.3
3,2,16.4,-72.3,30.5
3,2,10.9,-27.9,22.9
3,2,-15.2,114.8,39.9
4,2,21.0,-64.8,51.0
5,2,-27.2,-96.6,62.8
4,2,17.1,-78.4,49.9
5,2,7.6,-139.5,62.8
4,2,19.2,-138.1,52.0
4,2,16.7,-139.2,52.2
4,2,14.5,-137.1,51.3
4,2,12.9,-132.5,49.4
4,2,11.9,-125.7,46.5
4,2,11.7,-116.7,42.7
3,2,12.1,-105.1,37.8
3,2,13.0,-90.1,32.1
3,2,14.1,-68.9,25.6
3,2,7.3,-21.3,29.0
4,2,21.6,-87.4,55.4
5,2,5.6,-145.6,60.9
4,2,16.5,-136.6,48.7
4,2,13.0,-139.6,50.1
4,2,10.1,-138.6,50.2
4,2,8.0,-134.8,49.1
4,2,6.8,-128.7,46.9
4,2,6.5,-120.4,43.4
3,2,7.2,-109.8,38.8
3,2,8.8,-96.2,32.9
3,2,11.3,-77.9,25.8
2,2,13.6,-47.0,18.2
3,2,-8.5,141.5,26.1
5,2,29.6,-122.5,71.6
5,2,-31.2,-96.6,64.0
3,2,7.4,-12.6,28.8
4,2,24.7,-82.7,56.1
5,2,14.5,-142.6,64.3
4,2,11.2,-136.7,47.3
4,2,7.3,-137.3,48.6
4,2,4.5,-134.5,48.6
4,2,2.9,-129.1,47.2
4,2,2.4,-121.5,44.4
4,2,3.2,-111.7,40.2
3,2,5.1,-99.3,34.5
3,2,8.3,-83.1,27.3
2,2,12.5,-58.9,18.7
4,2,-2.3,67.0,57.5
4,2,-3.4,-105.4,52.6
5,2,34.1,-125.1,64.2
4,2,-22.4,-37.0,41.3
3,2,9.4,-10.1,31.2
4,2,27.6,-79.0,57.2
5,2,21.9,-137.8,67.2
4,2,9.2,-132.2,44.8
4,2,4.7,-132.7,46.7
4,2,1.8,-129.5,47.0
4,2,0.3,-123.6,45.7
4,2,0.3,-115.3,42.7
3,2,1.9,-104.7,38.1
3,2,4.9,-91.1,31.6
3,2,9.5,-72.9,23.3
2,2,15.2,-39.8,14.9
4,2,28.9,-69.5,55.8
5,2,31.3,-125.6,71.5
3,2,12.7,-122.7,39.9
4,2,6.6,-126.4,43.1
4,2,2.5,-124.6,44.5
4,2,0.4,-119.3,44.0
4,2,0.3,-111.3,41.5
3,2,2.0,-100.7,37.0
3,2,5.7,-87.0,30.4
3,2,11.0,-68.3,21.9
2,2,17.6,-28.5,16.1
5,2,-36.2,45.2,65.8
5,2,-33.4,100.3,67.6
4,2,28.2,-55.3,52.2
5,2,37.2,-104.8,71.9
3,2,16.0,-112.4,36.3
3,2,8.9,-117.8,39.3
4,2,4.6,-115.8,40.7
3,2,2.9,-109.6,39.8
3,2,3.7,-100.3,36.5
3,2,6.8,-87.8,30.9
3,2,11.9,-70.9,23.4
2,2,18.3,-42.6,17.6
5,2,-37.2,77.0,63.5
4,2,15.1,-12.2,45.5
3,2,25.2,-53.6,36.7
4,2,25.1,-37.0,46.9
5,2,37.0,-79.6,66.6
3,2,21.8,-96.8,34.0
3,2,14.2,-106.7,35.0
3,2,9.7,-105.3,35.7
3,2,8.6,-98.6,34.1
3,2,10.3,-87.9,30.2
3,2,14.4,-73.1,24.8
3,2,19.8,-51.2,21.3
5,2,42.5,91.8,67.9
4,2,22.2,-22.3,43.5
5,2,33.9,-59.9,60.5
5,2,29.4,-98.8,66.3
3,2,24.9,-84.7,34.2
3,2,19.2,-92.9,32.2
3,2,17.0,-88.8,30.6
3,2,18.2,-78.5,28.0
3,2,21.6,-62.9,26.2
3,2,24.5,-40.0,29.1
4,2,5.8,81.2,54.8
4,2,29.0,-40.9,53.1
5,2,34.1,-65.4,68.3
5,2,42.3,133.3,65.5
3,2,27.3,-70.5,35.5
3,2,26.4,-67.6,33.6
3,2,27.4,-54.4,34.9
4,2,27.0,-36.0,40.1
4,2,24.5,-26.2,47.0
4,2,25.7,-36.4,57.4
4,2,8.0,-65.5,44.4
3,2,-23.6,-44.0,27.9
4,2,16.9,-59.4,58.1
5,2,28.9,176.5,67.0
4,2,2.9,135.0,42.1
4,3,-3.6,-112.5,41.8
4,3,14.3,-105.5,54.0
4,3,14.3,-105.0,54.5
4,3,6.7,-113.0,50.4
4,3,21.2,-99.9,58.9
4,3,22.2,-93.6,59.4
4,3,21.0,-90.8,58.1
4,3,18.7,-94.9,56.8
4,3,13.3,-107.2,54.9
4,3,-4.2,-121.1,47.0
5,3,25.8,-98.7,62.4
5,3,26.5,-91.5,62.3
5,3,25.2,-84.6,60.4
4,3,23.0,-79.8,57.9
4,3,21.0,-79.3,56.1
4,3,19.6,-85.6,55.9
4,3,16.9,-99.8,56.4
